name,account,country,purpose,amount
"Manila Pharma Trading Corp",418638425407,PH,"Freight settlement PO-101",250.16
"Surabaya Electronics Makmur Abadi PT",8243510003,ID,"Supplier invoice PO-102",664.46
"Mekong Timber Import Export JSC",9934571937154,VN,"Equipment lease PO-103",201.16
"Chao Phraya Electronics Industries PCL",6991104154,TH,"Supplier invoice PO-104",578.04
"Penang Steel Trading Sdn Bhd",633872830624,MY,"Raw materials PO-105",520.97
"Raffles Freight Global Pte Ltd",844563260-019,SG,"Monthly retainer PO-106",327.82
"Quezon Rice Ventures Inc",185496374625,PH,"Commission payout PO-107",174.25
"Medan Timber PT",9503232242,ID,"Supplier invoice PO-108",456.17
"Lotus Tech Trading Co Ltd",2524207543893,VN,"Supplier invoice PO-109",741.48
"Golden Solar Industries PCL",0830105186,TH,"Supplier invoice PO-110",379.72
"Johor Pharma Sdn Bhd",981646225048,MY,"Contract milestone PO-111",718.25
"Raffles Steel Pte Ltd",988563647-168,SG,"Commission payout PO-112",450.01
"Cebu Rice Ventures Inc",609204206876,PH,"Equipment lease PO-113",597.42
"Nusantara Furniture Makmur Abadi PT",7547061459,ID,"Supplier invoice PO-114",305.78
"Dragon Cement Textiles Ltd",9125488479838,VN,"Freight settlement PO-115",391.33
"Chiang Mai Textile Trading Co Ltd",5768450880,TH,"Supplier invoice PO-116",765.20
"Borneo Tech Sdn Bhd",779240157439,MY,"Warehouse rent PO-117",394.32
"Temasek Furniture Trading Pte Ltd",737611319-269,SG,"Freight settlement PO-118",640.71
"Davao Plastics Ventures Inc",277123789000,PH,"Commission payout PO-119",674.87
"Bandung Freight Sejahtera PT",7307352771,ID,"Commission payout PO-120",639.24
